Episode,Score,Max Tile
400,80412,4096
401,23060,2048
402,16164,1024
403,69344,4096
404,44836,2048
405,36236,2048
406,34492,2048
407,27756,2048
408,58468,4096
409,60148,4096
410,67264,4096
411,16668,1024
412,36108,2048
413,16364,1024
414,16464,1024
415,30892,2048
416,16388,1024
417,56488,4096
418,32864,2048
419,17676,1024
420,27188,2048
421,16620,1024
422,75852,4096
423,36520,2048
424,36156,2048
425,32340,2048
426,28016,2048
427,27632,2048
428,16012,1024
429,26952,2048
430,37152,2048
431,12032,1024
432,36484,2048
433,28060,2048
434,60496,4096
435,17300,1024
436,55880,4096
437,7356,512
438,12012,1024
439,27300,2048
440,37200,2048
441,36220,2048
442,8976,512
443,32640,2048
444,34376,2048
445,30424,2048
446,32532,2048
447,35932,2048
448,57192,4096
449,36172,2048
450,34736,2048
451,60404,4096
452,77272,4096
453,47208,2048
454,51964,4096
455,32464,2048
456,22864,2048
457,15960,1024
458,12648,1024
459,75880,4096
460,7748,512
461,33800,2048
462,27376,2048
463,22748,2048
464,71648,4096
465,16304,1024
466,32384,2048
467,35456,2048
468,34928,2048
469,25480,2048
470,15472,1024
471,34188,2048
472,16808,1024
473,59968,4096
474,36252,2048
475,36952,2048
476,60588,4096
477,27284,2048
478,79496,4096
479,26392,2048
480,34692,2048
481,60464,4096
482,35880,2048
483,23592,2048
484,26816,2048
485,67540,4096
486,15752,1024
487,36900,2048
488,56384,4096
489,33240,2048
490,36152,2048
491,27824,2048
492,26596,2048
493,34588,2048
494,35776,2048
495,65088,4096
496,68140,4096
497,35788,2048
498,74944,4096
499,36140,2048
500,36196,2048
501,37236,2048
502,24940,2048
503,36616,2048
504,36736,2048
505,23268,2048
506,18752,1024
507,16576,1024
508,80080,4096
509,16428,1024
510,36156,2048
511,75820,4096
512,35548,2048
513,27804,2048
514,112672,8192
515,23492,2048
516,60440,4096
517,27928,2048
518,71464,4096
519,12120,1024
520,16516,1024
521,15892,1024
522,27192,2048
523,27964,2048
524,15724,1024
525,36932,2048
526,35488,2048
527,14372,1024
528,32216,2048
529,16356,1024
530,32048,2048
531,27124,2048
532,35324,2048
533,35744,2048
534,35440,2048
535,77168,4096
536,32364,2048
537,16712,1024
538,34148,2048
539,56580,4096
540,35412,2048
541,28260,2048
542,16504,1024
543,60480,4096
544,36652,2048
545,34800,2048
546,23304,2048
547,33572,2048
548,35428,2048
549,25652,2048
550,57972,4096
551,11948,1024
552,40944,2048
553,16804,1024
554,37892,2048
555,16616,1024
556,62400,4096
557,28148,2048
558,35420,2048
559,14328,1024
560,56072,4096
561,35468,2048
562,36252,2048
563,56644,4096
564,60428,4096
565,60724,4096
566,15044,1024
567,7060,512
568,36052,2048
569,51376,4096
570,27584,2048
571,26932,2048
572,15788,1024
573,33980,2048
574,25492,2048
575,61152,4096
576,35676,2048
577,34688,2048
578,21756,1024
579,61456,4096
580,32848,2048
581,36584,2048
582,60416,4096
583,34500,2048
584,14212,1024
585,35048,2048
586,35956,2048
587,79812,4096
588,71496,4096
589,26996,2048
590,34124,2048
591,56716,4096
592,60708,4096
593,16080,1024
594,56592,4096
595,15396,1024
596,69316,4096
597,32440,2048
598,15800,1024
599,52452,4096
600,25540,2048
601,32104,2048
602,57740,4096
603,57140,4096
604,40164,2048
605,37432,2048
606,16188,1024
607,56168,4096
608,26572,2048
609,14440,1024
610,35784,2048
611,31520,2048
612,51996,4096
613,34804,2048
614,33004,2048
615,72220,4096
616,32248,2048
617,36340,2048
618,16332,1024
619,36596,2048
620,70752,4096
621,29924,2048
622,51356,4096
623,15580,1024
624,36304,2048
625,14728,1024
626,108952,8192
627,32592,2048
628,12296,1024
629,15020,1024
630,55656,4096
631,12532,1024
632,16116,1024
633,11112,1024
634,79808,4096
635,16008,1024
636,59964,4096
637,55712,4096
638,27452,2048
639,24164,2048
640,35676,2048
641,36756,2048
642,27884,2048
643,28168,2048
644,35476,2048
645,23144,2048
646,26836,2048
647,27652,2048
648,39348,2048
649,33048,2048
650,37244,2048
651,45628,4096
652,32720,2048
653,16024,1024
654,16896,1024
655,16876,1024
656,26396,2048
657,35984,2048
658,36032,2048
659,71872,4096
660,35256,2048
661,28012,2048
662,37940,2048
663,78704,4096
664,71380,4096
665,12312,1024
666,13752,1024
667,16416,1024
668,80136,4096
669,36576,2048
670,16476,1024
671,16444,1024
672,27484,2048
673,35384,2048
674,36140,2048
675,59692,4096
676,33668,2048
677,36836,2048
678,16692,1024
679,16960,1024
680,27448,2048
681,16016,1024
682,36368,2048
683,32232,2048
684,34216,2048
685,68132,4096
686,16084,1024
687,32220,2048
688,36136,2048
689,31704,2048
690,74180,4096
691,16424,1024
692,29952,2048
693,32008,2048
694,56428,4096
695,80308,4096
696,16476,1024
697,12792,1024
698,26740,2048
699,33192,2048
700,16444,1024
701,37936,2048
702,51988,4096
703,27460,2048
704,27916,2048
705,16220,1024
706,37788,2048
707,55552,4096
708,34520,2048
709,16384,1024
710,16172,1024
711,47696,4096
712,50228,4096
713,32548,2048
714,16504,1024
715,7056,512
716,31612,2048
717,34444,2048
718,19512,1024
719,15708,1024
720,36380,2048
721,21080,2048
722,6820,512
723,26872,2048
724,36304,2048
725,15428,1024
726,30720,2048
727,32524,2048
728,16456,1024
729,36248,2048
730,36200,2048
731,33640,2048
732,36200,2048
733,36228,2048
734,36512,2048
735,36240,2048
736,32572,2048
737,15424,1024
738,7232,512
739,55392,4096
740,23660,2048
741,28424,2048
742,61232,4096
743,16504,1024
744,32108,2048
745,51092,4096
746,16192,1024
747,36200,2048
748,71600,4096
749,30692,2048
750,67652,4096
751,34092,2048
752,51788,4096
753,71464,4096
754,47500,4096
755,16760,1024
756,35340,2048
757,7360,512
758,30140,2048
759,34972,2048
760,36216,2048
761,39400,2048
762,14092,1024
763,32320,2048
764,33964,2048
765,15316,1024
766,58708,4096
767,56568,4096
768,27208,2048
769,25872,2048
770,25756,2048
771,35772,2048
772,57784,4096
773,36156,2048
774,16024,1024
775,16852,1024
776,40228,2048
777,27932,2048
778,35300,2048
779,37012,2048
780,16144,1024
781,16124,1024
782,36168,2048
783,71556,4096
784,35952,2048
785,34780,2048
786,18772,1024
787,27728,2048
788,60828,4096
789,16428,1024
790,37040,2048
791,32116,2048
792,16452,1024
793,34520,2048
794,72040,4096
795,56324,4096
796,32220,2048
797,53188,4096
798,71572,4096
799,37812,2048
800,10360,512
801,23448,2048
802,36164,2048
803,57228,4096
804,27200,2048
805,36592,2048
806,27560,2048
807,36324,2048
808,16116,1024
809,27208,2048
810,29052,2048
811,67880,4096
812,38428,2048
813,31460,2048
814,34336,2048
815,3000,256
816,33852,2048
817,17000,1024
818,32424,2048
819,71980,4096
820,34780,2048
821,35772,2048
822,31456,2048
823,27112,2048
824,32236,2048
825,74680,4096
826,24804,2048
827,72224,4096
828,27252,2048
829,77452,4096
830,52396,4096
831,28028,2048
832,35336,2048
833,37164,2048
834,76868,4096
835,24788,2048
836,36268,2048
837,16640,1024
838,51716,4096
839,16804,1024
840,31612,2048
841,52112,4096
842,27524,2048
843,16996,1024
844,58640,4096
845,34356,2048
846,16024,1024
847,30956,2048
848,16152,1024
849,27392,2048
850,80324,4096
851,34832,2048
852,36560,2048
853,15992,1024
854,34448,2048
855,74464,4096
856,27852,2048
857,45740,4096
858,36424,2048
859,15944,1024
860,60424,4096
861,27168,2048
862,12952,1024
863,16432,1024
864,26316,2048
865,27536,2048
866,35256,2048
867,60304,4096
868,36996,2048
869,21544,2048
870,51544,4096
871,36096,2048
872,34464,2048
873,36556,2048
874,27164,2048
875,16948,1024
876,26328,2048
877,32720,2048
878,16300,1024
879,69588,4096
880,51892,4096
881,70540,4096
882,23168,2048
883,79660,4096
884,11772,1024
885,36976,2048
886,35528,2048
887,32292,2048
888,16028,1024
889,55500,4096
890,35768,2048
891,27184,2048
892,14588,1024
893,16420,1024
894,37144,2048
895,36524,2048
896,28040,2048
897,33728,2048
898,19052,1024
899,36372,2048
900,11048,1024
901,12308,1024
902,30612,2048
903,60608,4096
904,37160,2048
905,36216,2048
906,45644,4096
907,16700,1024
908,67476,4096
909,36008,2048
910,16020,1024
911,30496,2048
912,56452,4096
913,35888,2048
914,78704,4096
915,31644,2048
916,36964,2048
917,36952,2048
918,16468,1024
919,61260,4096
920,31044,2048
921,35852,2048
922,47464,4096
923,65900,4096
924,58536,4096
925,27112,2048
926,16476,1024
927,25204,2048
928,32284,2048
929,54744,4096
930,27560,2048
931,36112,2048
932,16520,1024
933,35928,2048
934,26588,2048
935,35432,2048
936,36128,2048
937,36860,2048
938,35948,2048
939,31756,2048
940,60700,4096
941,35180,2048
942,29996,2048
943,36140,2048
944,37364,2048
945,35660,2048
946,36076,2048
947,38416,2048
948,35408,2048
949,29360,2048
950,17628,1024
951,27096,2048
952,35516,2048
953,36168,2048
954,34560,2048
955,36456,2048
956,16104,1024
957,16060,1024
958,25520,2048
959,16056,1024
960,59156,4096
961,61248,4096
962,31080,2048
963,16136,1024
964,30984,2048
965,74884,4096
966,52600,4096
967,28832,2048
968,27572,2048
969,60380,4096
970,15476,1024
971,80296,4096
972,27140,2048
973,15832,1024
974,27420,2048
975,12312,1024
976,60056,4096
977,36592,2048
978,36584,2048
979,59032,4096
980,35392,2048
981,32276,2048
982,59984,4096
983,72412,4096
984,16860,1024
985,32716,2048
986,14628,1024
987,16272,1024
988,15236,1024
989,34400,2048
990,60196,4096
991,32448,2048
992,16256,1024
993,51556,4096
994,36100,2048
995,34500,2048
996,17200,1024
997,71280,4096
998,36884,2048
999,79840,4096
1000,32620,2048
