Episode,Score,Max Tile
497,712,64
498,1200,128
499,672,64
500,1004,128
501,748,64
502,732,64
503,576,64
504,596,64
505,1132,128
506,944,128
507,380,32
508,1032,128
509,700,64
510,372,32
511,1016,128
512,732,64
513,448,32
514,1016,128
515,288,32
516,644,64
517,724,64
518,680,64
519,1420,128
520,600,64
521,472,64
522,684,64
523,1152,128
524,1364,128
525,1440,128
526,532,64
527,924,64
528,1328,128
529,1056,128
530,712,64
531,576,64
532,704,64
533,348,32
534,1884,128
535,1012,128
536,484,64
537,2916,256
538,1316,128
539,904,64
540,884,64
541,1092,128
542,1160,128
543,1476,128
544,604,64
545,800,64
546,1004,64
547,376,32
548,816,64
549,428,64
550,532,32
551,1056,128
552,328,32
553,1636,128
554,1196,128
555,640,64
556,640,64
557,1072,128
558,2324,256
559,1456,128
560,1432,128
561,1376,128
562,916,64
563,452,64
564,252,32
565,740,64
566,1028,128
567,1160,128
568,1036,128
569,1008,128
570,1092,128
571,700,64
572,980,64
573,700,64
574,584,64
575,1528,128
576,1016,128
577,764,64
578,684,64
579,596,64
580,252,32
581,1136,64
582,648,64
583,564,64
584,1360,128
585,1392,128
586,900,128
587,1384,128
588,1216,128
589,212,32
590,2408,256
591,1508,128
592,652,64
593,736,64
594,332,32
595,336,32
596,592,64
597,936,64
598,1276,128
599,808,64
600,316,32
601,856,64
602,1312,128
603,2372,256
604,716,64
605,680,64
606,1036,128
607,2224,256
608,312,32
609,544,64
610,956,128
611,680,64
612,1364,128
613,648,64
614,584,64
615,692,64
616,1100,128
617,1096,128
618,1228,128
619,1036,128
620,1668,128
621,1960,128
622,1324,128
623,180,32
624,248,32
625,1500,128
626,1268,128
627,1516,128
628,696,64
629,628,64
630,260,32
631,1284,128
632,604,64
633,1264,128
634,980,128
635,1040,64
636,1556,128
637,1120,128
638,608,64
639,1760,128
640,1532,128
641,640,64
642,532,64
643,620,64
644,528,64
645,1536,128
646,436,32
647,696,64
648,1368,128
649,896,64
650,1820,128
651,744,64
652,1176,128
653,396,32
654,768,64
655,1332,128
656,704,64
657,692,64
658,1176,128
659,1300,128
660,852,64
661,736,64
662,580,64
663,908,64
664,1220,128
665,1436,128
666,1320,128
667,212,32
668,324,32
669,944,64
670,564,64
671,464,64
672,1132,128
673,324,32
674,1004,64
675,364,32
676,892,64
677,756,64
678,1152,128
679,1476,128
680,944,64
681,1292,128
682,456,32
683,568,64
684,1132,128
685,1340,128
686,880,64
687,1492,128
688,540,64
689,628,64
690,2096,256
691,492,64
692,1188,128
693,1428,128
694,884,128
695,648,64
696,500,32
697,944,64
698,988,128
699,1328,128
700,968,64
701,1580,128
702,984,64
703,996,64
704,1456,128
705,280,32
706,1456,128
707,596,64
708,588,64
709,480,32
710,1308,128
711,1316,128
712,1040,128
